id,tier,anchor,ceiling,na_mode,near_floor,tilt,no_sip_share,type,target_dist,seeded_n,seeded_na,seeded_top
REW265_GOV_AIBENCH,estimate-flag,No UK prevalence figure for AI in reward benchmarking specifically,,none,,,,single_select,"{""No"": 0.75, ""Exploring"": 0.1429, ""Piloting"": 0.0714, ""Yes \u2014 embedded in process"": 0.0357}",220,0,No 75%; Exploring 14%; Piloting 7%
REW265_GOV_AITALENT,estimate-flag,No UK-only prevalence for differentiated AI-talent reward,,none,,,,single_select,"{""No"": 0.75, ""Case-by-case"": 0.1667, ""Yes \u2014 formal programme"": 0.0833}",220,0,No 75%; Case-by-case 17%; Yes — formal programme 8%
REW265_GOV_AIREGRADE,estimate-flag,No published UK figure for AI-driven re-grading activity,,none,,,,single_select,"{""No"": 0.75, ""Review underway"": 0.1429, ""Yes \u2014 isolated cases"": 0.0714, ""Yes \u2014 several roles"": 0.0357}",220,0,No 75%; Review underway 14%; Yes — isolated cases 7%
REW265_GOV_AIDISCLOSE,estimate-flag,No prevalence data on AI pay-decision disclosure,,self:0.30,,,,single_select,"{""No"": 0.75, ""On request"": 0.1667, ""Yes \u2014 always disclosed"": 0.0833}",220,63,No 75%; On request 17%; Yes — always disclosed 8%
REW265_INC_SAYEDISC,verify-queued,Majority of SAYE schemes understood to grant at or near the 20% maximu,0.2,wired:REW264_INC_SHAREPLAN,,,,single_select,"{""No discount"": 0.85, ""Under 10%"": 0.0857, ""10\u201319%"": 0.0429, ""20% (maximum)"": 0.0214}",220,177,No discount 84%; Under 10% 9%; 10–19% 5%
REW265_INC_SIPELEM,verify-queued,Partnership + matching understood to be the most common SIP pairing,,wired:REW264_INC_SHAREPLAN,,,0.4,multi_select,"{""Dividend shares"": 0.7, ""Matching shares"": 0.1714, ""Partnership shares"": 0.0857, ""Free shares"": 0.0429}",220,192,No SIP operated 192 of 220 parent-positive (rider 2); elements 28
REW265_INC_SHAREPART,verify-queued,Typical all-employee participation understood to sit in the 25–40% ban,,wired:REW264_INC_SHAREPLAN,,,,single_select,"{""Under 10%"": 0.7, ""10\u201325%"": 0.1714, ""26\u201350%"": 0.0857, ""Over 50%"": 0.0429}",220,177,Under 10% 70%; 10–25% 16%; 26–50% 9%
REW265_INC_EOT,verify-queued,"~2,000+ UK employee-owned businesses, majority via EOT",,none,YES,,,single_select,"{""No"": 0.94, ""Under consideration"": 0.04, ""EOT-owned"": 0.02}",220,0,No 94%; Under consideration 4%; EOT-owned 2%
REW265_INC_ESGINCENT,verify-queued,ESG measures now common in listed-company exec incentives; all-employe,,none,,,,single_select,"{""No"": 0.7, ""Yes \u2014 modifier or underpin"": 0.2, ""Yes \u2014 weighted measures"": 0.1}",220,0,No 70%; Yes — modifier or underpin 20%; Yes — weighted measures 10%
REW265_INC_BONUSDISC,estimate-flag,No UK prevalence for bonus-discretion governance models,,none,,,,single_select,"{""No discretion \u2014 formula applies"": 0.75, ""Committee discretion, documented"": 0.1429, ""Manager discretion"": 0.0714, ""Discretion applied, undocumented"": 0.0357}",220,0,"No discretion — formula ap 75%; Committee discretion, docu 14%; Manager discretion 7%"
REW265_INC_BUYOUT,estimate-flag,No general-market UK buy-out prevalence figure,,none,,,,single_select,"{""Never"": 0.75, ""Exceptionally"": 0.1667, ""Routinely offered"": 0.0833}",220,0,Never 75%; Exceptionally 17%; Routinely offered 8%
REW265_INC_BONUSTIME,estimate-flag,No published distribution of bonus payment timing,,none,,,,single_select,"{""Over 4 months"": 0.75, ""3\u20134 months"": 0.1667, ""Within 3 months of year end"": 0.0833}",220,0,Over 4 months 75%; 3–4 months 17%; Within 3 months of year en 8%
REW265_INC_PROFITSHARE,verify-queued,Historic CIPD data put all-employee profit share in the low-teens % of,,none,,,,single_select,"{""No"": 0.7, ""Gainshare (site or team)"": 0.2, ""Profit share \u2014 all-employee"": 0.1}",220,0,No 70%; Gainshare (site or team) 20%; Profit share — all-employe 10%
REW265_INC_COMMCAP,estimate-flag,No UK-only commission-cap prevalence,,sector:sales-heavy,,,,single_select,"{""Hard cap"": 0.75, ""Soft cap or decelerator"": 0.1667, ""Uncapped"": 0.0833}",220,167,Hard cap 75%; Soft cap or decelerator 17%; Uncapped 8%
REW265_INC_RETENTION,estimate-flag,No UK prevalence figure for retention-bonus frameworks,,none,,,,single_select,"{""No"": 0.75, ""Case-by-case"": 0.1667, ""Formal framework"": 0.0833}",220,0,No 75%; Case-by-case 17%; Formal framework 8%
REW265_PAY_PROMOPAY,verify-queued,Median UK promotion increases typically reported in the 8–10% region,,none,,,,single_select,"{""Fully discretionary"": 0.7, ""To new range minimum"": 0.1714, ""Range-position driven"": 0.0857, ""Fixed % guideline"": 0.0429}",220,0,Fully discretionary 70%; To new range minimum 17%; Range-position driven 9%
REW265_PAY_COUNTEROFFER,verify-queued,CIPD LMO has reported a majority of employers making counter-offers in,,none,,,,single_select,"{""No policy"": 0.7, ""Routinely counter"": 0.1714, ""Case-by-case with approval"": 0.0857, ""Never counter"": 0.0429}",220,0,No policy 70%; Routinely counter 17%; Case-by-case with approval 9%
REW265_PAY_GEOPAY,verify-queued,London weighting/allowances well documented; economy-wide structure sp,,none,,,,single_select,"{""National single structure"": 0.7, ""Role-by-role"": 0.1714, ""Multi-zone structure"": 0.0857, ""London/SE weighting"": 0.0429}",220,0,National single structure 70%; Role-by-role 17%; Multi-zone structure 9%
REW265_PAY_RANGEMAX,verify-queued,Freeze-at-max understood to be the most common policy where ranges exi,,none,,,,single_select,"{""No formal ranges"": 0.7, ""Frozen until range moves"": 0.1714, ""Continue increases"": 0.0857, ""Lump-sum in lieu"": 0.0429}",220,0,No formal ranges 70%; Frozen until range moves 17%; Continue increases 9%
REW265_PAY_MGRTRAIN,verify-queued,CIPD PPT covers manager capability in pay communication,,none,,,,single_select,"{""Neither"": 0.7, ""Guidance pack only"": 0.2, ""Mandatory training"": 0.1}",220,0,Neither 70%; Guidance pack only 20%; Mandatory training 10%
REW265_PAY_PAYCOMMS,verify-queued,CIPD PPT covers pay communication practice,,none,,,,single_select,"{""Varies"": 0.7, ""Amount only"": 0.1714, ""Manager conversation required"": 0.0857, ""Statement with rationale"": 0.0429}",220,0,Varies 70%; Amount only 17%; Manager conversation requi 9%
REW265_PAY_EARLYCAREER,verify-queued,ISE reports structured development frameworks common among graduate em,,self:0.25,,,,single_select,"{""Ad hoc"": 0.7, ""Yes \u2014 structured framework"": 0.3}",220,56,Ad hoc 70%; Yes — structured framework 30%
REW265_PAY_ACTINGUP,verify-queued,Acting-up allowances near-universal in public sector; whole-economy sp,,none,,"public,government+",,single_select,"{""No"": 0.7, ""Case-by-case"": 0.2, ""Formal allowance or uplift policy"": 0.1}",220,0,No 67%; Case-by-case 21%; Formal allowance or uplift 12%
REW265_TIME_BACKUPCARE,verify-queued,Backup care established among large employers; whole-market prevalence,,none,,,,single_select,"{""No"": 0.7, ""Discounted access"": 0.2, ""Yes \u2014 funded days"": 0.1}",220,0,No 70%; Discounted access 20%; Yes — funded days 10%
REW265_TIME_RTWSUPPORT,estimate-flag,No whole-market figure for structured post-leave support,,none,,,,single_select,"{""Neither"": 0.75, ""Phased return only"": 0.1667, ""Coaching plus phased return"": 0.0833}",220,0,Neither 75%; Phased return only 17%; Coaching plus phased retur 8%
REW265_TIME_GRANDPARENT,estimate-flag,"Rare, emerging benefit; no prevalence figure",,none,YES,,,single_select,"{""No"": 0.94, ""Yes"": 0.06}",220,0,No 94%; Yes 6%
REW265_TIME_SURROGACY,estimate-flag,No published employer split on surrogacy parity,,none,,,,single_select,"{""Not addressed"": 0.75, ""Partial"": 0.1667, ""Full parity"": 0.0833}",220,0,Not addressed 75%; Partial 17%; Full parity 8%
REW265_TIME_DOMABUSE,verify-queued,EIDA membership (employers committed to action) in the low thousands,,none,,,,single_select,"{""Neither"": 0.7, ""Support pathway only"": 0.2, ""Paid leave plus support pathway"": 0.1}",220,0,Neither 70%; Support pathway only 20%; Paid leave plus support pa 10%
REW265_TIME_ELDERCARE,verify-queued,Carers UK employer research covers carer-support provision,,none,,,,single_select,"{""No"": 0.7, ""Yes"": 0.3}",220,0,No 70%; Yes 30%
REW265_TIME_BEREAVEDPAT,estimate-flag,New statutory right; no enhancement-prevalence data exists yet,,none,,,,single_select,"{""Statutory only"": 0.75, ""Enhanced pay"": 0.1667, ""Not yet reviewed"": 0.0833}",220,0,Statutory only 75%; Enhanced pay 17%; Not yet reviewed 8%
REW265_TIME_FLEXPATTERN,verify-queued,CIPD Flexible Working survey publishes prevalence by pattern type,,none,,,,multi_select,"{""None"": 0.7, ""Annualised hours"": 0.16, ""Flexitime with accrual"": 0.08, ""Core hours"": 0.04, ""Compressed hours"": 0.02}",220,0,None 66%; Annualised hours 13%; Flexitime with accrual 8%
REW265_TIME_DISCONNECT,estimate-flag,No UK statutory right; prevalence unpublished,,none,,,,single_select,"{""No"": 0.75, ""Guidance only"": 0.1667, ""Formal policy"": 0.0833}",220,0,No 75%; Guidance only 17%; Formal policy 8%
REW265_TIME_EXTRADAYS,estimate-flag,Job-ads analyses exist but lack a defensible employer base,,none,,,,multi_select,"{""None"": 0.75, ""Life-event days"": 0.1429, ""Wellbeing or duvet days"": 0.0714, ""Birthday leave"": 0.0357}",220,0,None 75%; Life-event days 11%; Birthday leave 7%
REW265_TIME_LEAVEDONATE,estimate-flag,US-origin practice; no UK prevalence published,,none,YES,,,single_select,"{""No"": 0.94, ""Yes \u2014 formal scheme"": 0.06}",220,0,No 94%; Yes — formal scheme 6%
REW265_TIME_UNLIMITEDAL,estimate-flag,No defensible UK prevalence figure,,none,YES,,,single_select,"{""No"": 0.94, ""Yes \u2014 some roles"": 0.04, ""Yes \u2014 all employees"": 0.02}",220,0,No 94%; Yes — some roles 4%; Yes — all employees 2%
REW265_TIME_WORKATION,estimate-flag,No whole-market split on overseas-remote policy,,none,,,,single_select,"{""Prohibited"": 0.75, ""Case-by-case"": 0.1429, ""Formal cap (days per year)"": 0.0714, ""Uncapped"": 0.0357}",220,0,Prohibited 75%; Case-by-case 14%; Formal cap (days per year) 7%
REW265_BEN_EVCHARGE,verify-queued,Workplace Charging Scheme grant statistics give installed-socket count,,none,,"office,professional+",,single_select,"{""No"": 0.7, ""Paid workplace charging"": 0.2, ""Free workplace charging"": 0.1}",220,0,No 66%; Paid workplace charging 22%; Free workplace charging 12%
REW265_BEN_TRANSPORT,estimate-flag,No prevalence figure for transport subsidy beyond loans,,none,,,,single_select,"{""Neither"": 0.75, ""Loans only"": 0.1667, ""Yes \u2014 subsidy"": 0.0833}",220,0,Neither 75%; Loans only 17%; Yes — subsidy 8%
REW265_BEN_GREENBEN,verify-queued,REBA sustainability research covers green-benefit adoption,,none,,,,multi_select,"{""None"": 0.7, ""Sustainable travel incentives"": 0.1714, ""Home energy support"": 0.0857, ""Green pension option"": 0.0429}",220,0,None 72%; Sustainable travel incenti 15%; Home energy support 7%
REW265_GOV_VOLGAPS,verify-queued,CIPD PPT reports the share of employers publishing ethnicity pay gaps ,,none,,,,multi_select,"{""None"": 0.7, ""CEO pay ratio (voluntary)"": 0.1714, ""Disability pay gap published"": 0.0857, ""Ethnicity pay gap published"": 0.0429}",220,0,None 70%; CEO pay ratio (voluntary) 13%; Disability pay gap publish 11%
REW265_GOV_SOCIOECON,verify-queued,Social Mobility Foundation Employer Index tracks socio-economic data c,,none,,,,single_select,"{""No"": 0.7, ""Considering"": 0.2, ""Yes"": 0.1}",220,0,No 70%; Considering 20%; Yes 10%
REW265_GOV_PAYAPPEAL,verify-queued,CIPD PPT covers pay-decision challenge/appeal mechanisms,,none,,,,single_select,"{""None"": 0.7, ""Grievance route only"": 0.2, ""Formal appeal route"": 0.1}",220,0,None 70%; Grievance route only 20%; Formal appeal route 10%
REW265_GOV_EIA,estimate-flag,EIA prevalence for reward changes unpublished outside the public secto,,none,,"public,government+",,single_select,"{""No"": 0.75, ""Major changes only"": 0.1667, ""Always"": 0.0833}",220,0,No 72%; Major changes only 18%; Always 10%
REW265_PAY_AGENCYPAR,estimate-flag,No prevalence data beyond statutory AWR compliance,,none,,,,single_select,"{""Statutory only"": 0.75, ""Partial"": 0.1667, ""Full parity"": 0.0833}",220,0,Statutory only 75%; Partial 17%; Full parity 8%
REW265_PAY_CONTRACTOR,estimate-flag,No UK figure for contractor benefit access,,none,,,,single_select,"{""None"": 0.75, ""EAP only"": 0.1667, ""Yes \u2014 several benefits"": 0.0833}",220,0,None 75%; EAP only 17%; Yes — several benefits 8%
REW265_PAY_SEASONAL,estimate-flag,No published prevalence for seasonal peak premiums,,none,,"retail,hospitality+",,single_select,"{""Neither"": 0.75, ""Completion bonus"": 0.1667, ""Peak premium"": 0.0833}",220,0,Neither 63%; Completion bonus 23%; Peak premium 14%
REW265_GOV_COMPSOFT,estimate-flag,Vendor market-share claims fail the base rule; no independent UK figur,,none,,,,single_select,"{""Spreadsheets"": 0.75, ""Outsourced"": 0.1429, ""HRIS module"": 0.0714, ""Dedicated comp tool"": 0.0357}",220,0,Spreadsheets 75%; Outsourced 14%; HRIS module 7%
REW265_GOV_BROKER,verify-queued,REBA/industry research covers broker usage among larger employers,,none,,,,single_select,"{""None"": 0.7, ""Project-based adviser"": 0.2, ""Full-service broker"": 0.1}",220,0,None 70%; Project-based adviser 20%; Full-service broker 10%
REW265_GOV_REBROKE,verify-queued,REBA research covers review cadence,,none,,,,single_select,"{""Never"": 0.7, ""Less often than every 3 years"": 0.1714, ""Every 2\u20133 years"": 0.0857, ""Annually"": 0.0429}",220,0,Never 70%; Less often than every 3 ye 17%; Every 2–3 years 9%
REW265_GOV_TAKEUP,verify-queued,REBA research covers take-up measurement,,none,,,,single_select,"{""No"": 0.7, ""Occasionally"": 0.2, ""Systematically"": 0.1}",220,0,No 70%; Occasionally 20%; Systematically 10%
REW265_GOV_TRS,verify-queued,TRS adoption reported in vendor/REBA research,,none,,,,single_select,"{""None"": 0.7, ""Some populations"": 0.2, ""All employees receive TRS"": 0.1}",220,0,None 70%; Some populations 20%; All employees receive TRS 10%
REW265_BEN_ENHANCEDVR,estimate-flag,No published split of VR vs compulsory terms,,self:0.35,,,,single_select,"{""Same as compulsory terms"": 0.75, ""Yes \u2014 enhanced VR terms"": 0.25}",220,78,Same as compulsory terms 75%; Yes — enhanced VR terms 25%
REW265_BEN_PENBRIDGE,estimate-flag,Largely legacy DB-era practice; no current prevalence figure,,none,,,,single_select,"{""No"": 0.75, ""Case-by-case"": 0.1667, ""Yes"": 0.0833}",220,0,No 75%; Case-by-case 17%; Yes 8%
REW265_GOV_GPGNAMING,estimate-flag,New ERA requirement; no readiness data published yet,,derived:FTE<250,,,,single_select,"{""Not started"": 0.75, ""Reviewing supplier data"": 0.1667, ""Prepared"": 0.0833}",220,30,Not started 75%; Reviewing supplier data 17%; Prepared 8%
