id_hint,category,text,type,options,polarity,unit,required,scored,release_entered,na_handling,none_scores_zero,help_why
REW262_GOV_ACTIONPLAN,Governance,"Do you have a published equality action plan, and which characteristics does it cover?",multi_select,Gender;Ethnicity;Disability;Menopause;None,higher_is_better,,FALSE,FALSE,2026.2,none,TRUE,Equality action plans move from voluntary (Apr 2026) to mandatory (~Spring 2027) — the report-to-act shift.
REW262_GOV_EQUALVALUE,Governance,"Can you group your workforce into categories of equal value (by skills, effort, responsibility and conditions)?",single_select,No;In progress;Partially;Fully,higher_is_better,,FALSE,FALSE,2026.2,none,,The EU Pay Transparency Directive's core requirement; the #1 readiness blocker for employers.
REW262_GOV_SALHISTORY,Governance,Have you removed salary-history questions from your hiring process?,yes_no,Yes;No,higher_is_better,,FALSE,FALSE,2026.2,none,,Salary-history bans are a likely next UK transparency step and already in the EU directive.
REW262_GOV_PAYINADVERTS,Governance,Do you include pay or a pay range in job adverts?,single_select,Never;Some roles;All roles,higher_is_better,,FALSE,FALSE,2026.2,none,,Pay-in-adverts is an EU directive recruitment obligation and a UK direction of travel.
REW262_GOV_EQUALPAYAUDIT,Governance,"Do you run proactive equal-pay audits, and how often?",single_select,No;Ad hoc;Annually;More than annually,higher_is_better,,FALSE,FALSE,2026.2,none,,Proactive audits are the protection as the burden of proof shifts to employers.
REW262_GOV_AIINPAY,Governance,"Do you use AI tools in pay decisions, and with what governance?",single_select,No AI use;AI with no formal oversight;AI as decision-support with human oversight;AI with human oversight and bias auditing,higher_is_better,,FALSE,FALSE,2026.2,none,,"AI-in-reward governance: decision-supporter not decision-maker, with bias monitoring. lumi whitespace."
REW262_PAY_GUARANTEEDHRS,Pay,Do you proactively offer guaranteed-hours contracts to variable-hours workers?,single_select,No;On request only;Yes proactively (after a reference period),higher_is_better,,FALSE,FALSE,2026.2,offer_na,,Employment Rights Act 2025 duty: offer guaranteed hours reflecting actual hours worked.
REW262_PAY_CANCELLEDSHIFT,Pay,Do you compensate workers for shifts cancelled at short notice?,yes_no,Yes;No,higher_is_better,,FALSE,FALSE,2026.2,offer_na,,ERA 2025 right to compensation for cancelled/curtailed shifts.
REW262_PAY_SHIFTNOTICE,Pay,How much advance notice of shifts do you give?,single_select,No set notice;Less than 1 week;1-2 weeks;2 or more weeks,higher_is_better,,FALSE,FALSE,2026.2,offer_na,,ERA 2025 duty to give reasonable notice of shifts.
REW262_PAY_AISKILLSPAY,Pay,Do you pay a premium specifically for AI skills?,yes_no,Yes;No,neutral,,FALSE,FALSE,2026.2,none,,"The 61%/55% tension: most orgs add AI skills to roles, few yet pay for them."
REW262_TIME_BEREAVEMENT,Time Off,Do you offer paid bereavement leave above the statutory minimum?,single_select,Statutory only;1-5 days enhanced;5 or more days enhanced,higher_is_better,,FALSE,FALSE,2026.2,none,,ERA 2025 introduces a new statutory bereavement leave right; enhancement is the differentiator.
REW262_TIME_SICKDAYONE,Time Off,Does your occupational sick pay apply from day one (no waiting days)?,yes_no,Yes;No,higher_is_better,,FALSE,FALSE,2026.2,none,,Reflects the new day-one SSP baseline under the ERA (waiting days removed).
