metric_id,fix_class,basis,target_distribution,note,ruling
REW265_INC_SAYEDISC,F3-anchor,applicable (SAYE operators),20% (maximum)=55;10–19%=25;Under 10%=12;No discount=8,"Anchor: majority at/near 20% max. Value anchor — no prevalence ceiling applies. Kit regex extended to catch ""the N% maximum"" phrasing.",
REW265_INC_SIPELEM,F3-anchor,per-option incidence among SIP operators (multi),Partnership shares=75;Matching shares=55;Free shares=35;Dividend shares=15,Anchor: partnership+matching the common pairing. Lean-pole must never be positional on multis.,
REW265_INC_SHAREPART,F3-anchor,applicable (plan operators),10–25%=40;26–50%=30;Under 10%=20;Over 50%=10,Modal 10–25%: adjacent-below the 25–40% anchor band — conservative without absurdity.,R1: approve modal shift (rec) or keep ruled Under-10% modal
REW265_INC_BONUSTIME,F3-anchor,all (practice),Within 3 months of year end=55;3–4 months=35;Over 4 months=10,"Market norm within 3–4 months; >4 months is the rare answer, not the modal.",
REW265_TIME_WORKATION,F4-pole,all,Case-by-case=45;Prohibited=25;Formal cap (days per year)=20;Uncapped=10,Case-by-case/no-formality dominates in practice; prohibition is a minority stance.,
REW265_INC_BONUSDISC,F4-pole,all (practice),"Committee discretion, documented=40;Manager discretion=30;No discretion — formula applies=20;Discretion applied, undocumented=10",Discretion is the norm; pure formula the exception.,
REW264_PEN_GREENDEFAULT,F4-pole,applicable (DC default exists),Standard default=45;ESG-tilted=30;Yes net-zero aligned=18;Unsure=7,Provider defaults trend net-zero but employer-count share of published alignment stays minority.,
REW264_PAY_HOLPAYMETHOD,F4-pole,all,52-week average=55;Accrual per GB regs=25;Rolled-up 12.07%=15;Unsure=5,Rolled-up lawful only for irregular-hours/part-year workers — concentrate its 15% in hospitality/retail/leisure via sector rule; near-zero elsewhere.,
REW264_TIME_CHILDCARE,F4-pole,per-option incidence (multi),Nursery partnership/subsidy=12;Backup/emergency care=8;Workplace nursery scheme=4;Childcare concierge=2;None=78,True nursery incidence low single digits; partnerships/subsidies absorb the mass. PRESERVE holders coherent with old book (e.g. Thornbridge WEL_SUP_FAC_002).,
REW265_GOV_BROKER,F4-pole,all,None=45;Project-based adviser=30;Full-service broker=25,Paired with REBROKE — 70/70 inertia contradicts REBA cadence data.,
REW265_GOV_REBROKE,F4-pole,all,Never=35;Less often than every 3 years=30;Every 2–3 years=25;Annually=10,Softened jointly with BROKER; internal coherence rule holds (no-broker orgs skew Never).,
REW265_INC_EOT,F4-noted,all,KEEP AS SEEDED (No=94;Under consideration=4;EOT-owned=2),Above anchor-implied <1% base rate BY RULING — near-floor suppression demo value retained.,R2: confirm keep (rec)
